Fandom,Type,Total Works,Excluding Crossovers,Total Fix-It Fics,Fix-It Fics without Crossovers
A Court of Thorns and Roses Series - Sarah J. Maas,Books *a* Literature,2670,2609,4,4
Chilling Adventures of Sabrina (TV 2018),TV Shows,1598,1420,12,8
Persona 4,Anime *a* Manga,4458,4137,27,26
Fate/stay night - All Media Types,Video Games,1212,997,7,6
Buzzfeed Unsolved (Web Series),Other Media,2989,2523,10,3
Hannibal Lecter Series - All Media Types,Books *a* Literature,22632,20015,395,345
Wonder Woman - All Media Types,TV Shows,2392,1906,141,124
Newsies!: the Musical - Fierstein/Menken,Theater,3963,3808,3,3
Babylon 5,TV Shows,2098,1867,175,172
Simonverse | Creekwood Series - Becky Albertalli,Books *a* Literature,1048,280,5,0
NewS (Band),Music *a* Bands,1246,1115,0,0
18th Century CE RPF,Celebrities *a* Real People,1564,498,9,3
Starsky & Hutch,TV Shows,3257,3170,2,2
鬼滅の刃 | Kimetsu no Yaiba (Manga),Anime *a* Manga,3503,1374,93,23
No. 6 - All Media Types,Books *a* Literature,1237,1163,7,7
刀剣乱舞 | Touken Ranbu,Video Games,4056,3870,1,0
Torchwood,TV Shows,15516,12914,239,186
Dungeons & Dragons - All Media Types,Video Games,16410,14765,260,248
1922 (2017),Uncategorized Fandoms,0,0,0,0
Sanctuary (TV),TV Shows,2489,2112,10,6
Marvel Cinematic Universe RPF,Celebrities *a* Real People,4245,1569,11,0
Assassination Classroom,Anime *a* Manga,2025,1682,5,5
Castle (TV 2009),TV Shows,3903,3364,16,14
Welcome to Night Vale,Other Media,6930,6033,24,12
Fruits Basket,Anime *a* Manga,1254,1079,3,3
Batman: The Animated Series,Cartoons *a* Comics *a* Graphic Novels,1861,1701,8,8
Generation Kill,TV Shows,2257,1963,0,0
Team Fortress 2,Video Games,4499,4282,1,1
Grimm (TV),TV Shows,2411,2015,16,8
Agent Carter (TV),TV Shows,5721,5305,139,125
The Heroes of Olympus - Rick Riordan,Books *a* Literature,8769,8036,68,63
Until Dawn (Video Game),Video Games,1875,1747,151,149
Eddsworld - All Media Types,Other Media,2426,2326,1,1
Destiny (Video Games),Video Games,3363,3031,13,9
GAIMAN Neil - Works,Books *a* Literature,21889,5561,72,3
Marvel (Comics),Cartoons *a* Comics *a* Graphic Novels,36869,31602,672,577
Tales of Zestiria,Anime *a* Manga,1828,1787,5,5
Marvel,Movies,393529,345351,8337,7374
Norse Religion & Lore,Books *a* Literature,2181,426,42,0
Batgirl (Comics),Cartoons *a* Comics *a* Graphic Novels,1228,1137,18,15
Teenage Mutant Ninja Turtles (TV 2012),Cartoons *a* Comics *a* Graphic Novels,2309,2170,13,13
KING Stephen - Works,Books *a* Literature,11240,2534,1296,286
Mass Effect: Andromeda,Video Games,3554,3491,18,17
声入人心 | Super-Vocal (TV),Music *a* Bands,14785,14671,0,0
Justice League - All Media Types,Cartoons *a* Comics *a* Graphic Novels,3391,2899,31,22
Prison Break,TV Shows,1582,1494,7,6
Transformers Generation One,Cartoons *a* Comics *a* Graphic Novels,16240,15897,88,86
Big Hero 6 (2014),Movies,2558,2138,209,189
Warcraft - All Media Types,Cartoons *a* Comics *a* Graphic Novels,5961,5490,56,52
Warhammer 40.000,Other Media,1260,1066,14,12
Formula 1 RPF,Celebrities *a* Real People,5368,5172,1,1
Journey Into Fear (1943),Uncategorized Fandoms,0,0,0,0
Fire Emblem Echoes: Mou Hitori no Eiyuu Ou | Fire Emblem Echoes: Shadows of Valentia,Video Games,1074,1053,10,10
Smallville,TV Shows,10316,9475,62,59
Le Fantôme de l'Opéra | Phantom of the Opera & Related Fandoms,Movies,2330,1931,20,14
X-Men (Comicverse),Cartoons *a* Comics *a* Graphic Novels,5513,4843,56,47
due South,TV Shows,11824,10873,96,93
Robin Hood - All Media Types,Movies,1802,1462,14,13
Hetalia: Axis Powers,Anime *a* Manga,34650,33150,14,10
Star Wars Sequel Trilogy,Movies,48998,47206,1353,1332
Banana Bus Squad,Other Media,2186,2091,0,0
Tokusatsu,Movies,4992,4626,28,27
Yu-Gi-Oh! ARC-V,Anime *a* Manga,2049,1987,7,6
Les Misérables - Schönberg/Boublil,Books *a* Literature,2557,2421,121,118
X-Men (Original Timeline Movies),Movies,4835,4218,103,96
Uta no Prince-sama,Video Games,1757,1668,1,1
Percy Jackson and the Olympians & Related Fandoms - All Media Types,Movies,20160,17217,144,114
The Legend of Sleepy Hollow - All Media Types,Books *a* Literature,2300,2036,65,57
Star Wars: Rebellion Era - All Media Types,Movies,19893,18930,602,582
Pundit & Broadcast Journalist RPF (US),Celebrities *a* Real People,854,633,1,1
Marvel,Cartoons *a* Comics *a* Graphic Novels,393530,345353,8337,7374
Compilation of Final Fantasy VII,Video Games,10284,9152,170,155
Fantastic Four,Movies,1807,1433,13,6
Death Note (Anime & Manga),Anime *a* Manga,5543,4895,77,67
Almost Human (TV),TV Shows,1090,901,2,1
Anne with an E (TV),TV Shows,1120,519,14,6
Twilight Series - Stephenie Meyer,Books *a* Literature,5814,4732,41,25
The Transformers (IDW Generation One),Cartoons *a* Comics *a* Graphic Novels,8370,8263,72,70
Schitt's Creek,TV Shows,2273,2225,6,6
Kagerou Project,Music *a* Bands,1024,919,0,0
Captain Marvel (2019),Movies,1726,1547,53,46
Pocket Monsters | Pokemon (Anime),Anime *a* Manga,3488,3169,8,4
Earthquake Bird (2019),Uncategorized Fandoms,0,0,0,0
Unspecified Fandom,Other Media,2542,2227,4,2
Ginga Eiyuu Densetsu | Legend of the Galactic Heroes,Anime *a* Manga,1004,974,3,3
Adam Lambert (Musician),Music *a* Bands,4682,1608,1,0
Babylon 5 & Related Fandoms,TV Shows,2214,1968,177,174
Villainous (Cartoon),Cartoons *a* Comics *a* Graphic Novels,1340,1262,2,2
哪吒之魔童降世 | Né Zhā Zhī Mó Tóng Jiàng Shì (2019),Movies,1788,1767,0,0
Star Trek: The Original Series,Movies,11214,10459,68,64
SHAKESPEARE William - Works,Books *a* Literature,3693,2744,54,42
Shingeki no Kyojin | Attack on Titan,Anime *a* Manga,41998,40467,128,120
Stargate Atlantis,TV Shows,26062,23227,83,69
Metal Gear,Video Games,2924,2736,9,8
DuckTales (Cartoon 2017),Cartoons *a* Comics *a* Graphic Novels,2271,2197,2,2
Star Wars - All Media Types,Other Media,102965,97369,2657,2583
Hikaru no Go,Anime *a* Manga,1918,1783,6,6
Sense8 (TV),TV Shows,1294,1086,10,6
The Shadowhunter Chronicles - Cassandra Clare,Books *a* Literature,11647,11028,94,89
Star Wars: Rebellion Era - All Media Types,Cartoons *a* Comics *a* Graphic Novels,19893,18930,602,582
Teen Wolf (TV),TV Shows,105614,98946,4022,3784
Weiß Kreuz,Anime *a* Manga,2178,1920,3,3
Daredevil (Comics),Cartoons *a* Comics *a* Graphic Novels,1006,898,14,12
Vampire Chronicles - All Media Types,Movies,1185,1038,6,6
D.Gray-man,Anime *a* Manga,4447,4088,13,9
Numb3rs (TV),TV Shows,2215,1815,0,0
Teen Titans (Comics),Cartoons *a* Comics *a* Graphic Novels,2574,2311,20,17
Sons of Anarchy,TV Shows,2009,1724,17,8
Bandom,Music *a* Bands,48976,42311,35,32
Lego Ninjago,Other Media,1721,1632,3,2
Boruto: Naruto Next Generations,Anime *a* Manga,1077,1037,44,42
Teenage Mutant Ninja Turtles - All Media Types,TV Shows,6694,6256,20,17
BBC Radio 1 RPF,Celebrities *a* Real People,1860,71,2,0
Rick and Morty,Video Games,3633,3023,2,1
White Collar,TV Shows,7815,6527,32,22
Persona Series,Video Games,16757,15626,335,322
Ghost - Ambiguous Fandom,Anime *a* Manga,1341,1217,1,1
Finder no Hyouteki | Finder Series,Anime *a* Manga,1986,1812,4,2
Captive Prince - C. S. Pacat,Books *a* Literature,2401,2352,255,249
恋与制作人 | Liàn Yǔ Zhì Zuò Rén | Mr. Love: Queen's Choice (Video Game),Video Games,2210,2131,0,0
Gintama,Anime *a* Manga,3952,3797,3,3
凹凸世界 | AOTU Shijie | AOTU World,Cartoons *a* Comics *a* Graphic Novels,2511,2481,0,0
Vampire Chronicles - All Media Types,Books *a* Literature,1185,1038,6,6
Tron - All Media Types,Video Games,1283,1138,5,3
Power Rangers (2017),Movies,1691,1499,0,0
MS Paint Adventures,Other Media,50733,48314,99,91
第一炉香 | LOVE AFTER LOVE (2020),Uncategorized Fandoms,0,0,0,0
ATEEZ (Band),Music *a* Bands,2262,2237,2,2
Star Trek: Alternate Original Series (Movies),Movies,28454,26154,194,176
Carmilla - All Media Types,Other Media,6346,5976,9,9
魔道祖师 | Módào Zǔshī (Cartoon),Cartoons *a* Comics *a* Graphic Novels,1699,141,59,0
Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon,TV Shows,5140,4145,25,18
The Legend of Zelda: The Ocarina of Time,Video Games,1307,1168,8,7
The 100 (TV),TV Shows,30843,28419,626,562
Le Fantôme de l'Opéra | Phantom of the Opera & Related Fandoms,Theater,2330,1931,20,14
盜墓筆記 - 南派三叔 | The Grave Robbers' Chronicles - Xu Lei,Books *a* Literature,1517,1357,0,0
Banana Bus Squad,Celebrities *a* Real People,2186,2091,0,0
Batman - All Media Types,TV Shows,43718,39361,405,354
The Lord of the Rings - J. R. R. Tolkien,Books *a* Literature,14547,13582,73,60
American Horror Story: Coven,TV Shows,1168,1072,14,12
約束のネバーランド | Yakusoku no Neverland | The Promised Neverland (Manga),Anime *a* Manga,1160,1125,4,3
Game Grumps,Celebrities *a* Real People,4039,3751,1,1
Teenage Mutant Ninja Turtles (TV 2003),Cartoons *a* Comics *a* Graphic Novels,1568,1492,1,1
5 Seconds of Summer (Band),Music *a* Bands,8900,7884,1,0
Warriors - Erin Hunter,Books *a* Literature,1768,1557,15,14
Danger Days: The True Lives of the Fabulous Killjoys - My Chemical Romance (Album),Music *a* Bands,1365,345,0,0
Newsies - All Media Types,Theater,5239,5011,3,3
ワンパンマン | One-Punch Man,Cartoons *a* Comics *a* Graphic Novels,3539,3313,4,3
Divergent Series - Veronica Roth,Books *a* Literature,1009,828,8,8
Phandom/The Fantastic Foursome (YouTube RPF),Other Media,18087,17608,3,3
Legend of the Seeker (TV),TV Shows,1341,1231,7,6
Elementary (TV),TV Shows,2377,2046,13,9
The Amazing Spider-Man (Movies - Webb),Movies,2347,1969,27,21
Descendants (Disney Movies),Movies,3761,3212,13,6
Superman - All Media Types,Movies,16160,14724,99,92
Cabin Pressure,Other Media,3496,2822,9,7
Fallout: New Vegas,Video Games,2710,2538,5,5
Agents of S.H.I.E.L.D. (TV),TV Shows,27007,25164,502,446
Dollhouse,TV Shows,1050,665,8,5
Cinderella - All Media Types,Movies,1125,688,5,1
Chuck (TV),TV Shows,1360,979,9,5
Mortal Kombat - All Media Types,TV Shows,1116,950,4,3
DC Animated Universe (Timmverse),Cartoons *a* Comics *a* Graphic Novels,5864,5327,27,23
9-1-1 (TV),TV Shows,1850,1796,26,25
Star Trek: Deep Space Nine,TV Shows,5908,5568,50,47
Vorkosigan Saga - Lois McMaster Bujold,Books *a* Literature,2717,2505,3,3
Devil May Cry,Video Games,5166,4601,21,17
Super Mario & Related Fandoms,Video Games,2085,1224,4,1
Danny Phantom,Cartoons *a* Comics *a* Graphic Novels,4221,3214,15,7
Wolf 359 (Radio),Other Media,1490,1413,17,17
鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),Anime *a* Manga,2635,492,74,4
Pundit & Broadcast Journalist RPF (US),TV Shows,854,633,1,1
Justice League & Justice League Unlimited (Cartoons),Cartoons *a* Comics *a* Graphic Novels,1903,1676,7,6
Hey! Say! JUMP,Music *a* Bands,2632,2583,0,0
Merlin (TV),TV Shows,35638,33131,407,365
Batman (Comics),Cartoons *a* Comics *a* Graphic Novels,18703,17446,181,164
The Hobbit - All Media Types,Books *a* Literature,31626,29304,1147,1093
Tennis no Oujisama | Prince of Tennis,Anime *a* Manga,5181,4887,3,2
Warhammer - All Media Types,Books *a* Literature,1433,1206,14,12
Dragon Age - All Media Types,Cartoons *a* Comics *a* Graphic Novels,62509,60748,251,233
Resident Evil - All Media Types,Video Games,4041,3610,93,92
Lego - All Media Types,Video Games,2789,2575,9,7
Beauty and the Beast - All Media Types,Books *a* Literature,2522,1810,50,41
American Idol RPF,TV Shows,2848,1582,0,0
6 Underground (2019) Actor RPF,Uncategorized Fandoms,0,0,0,0
逆転裁判 | Gyakuten Saiban | Ace Attorney,Video Games,9448,8961,85,84
LazyTown,TV Shows,1837,1746,3,2
Saiyuki (Anime & Manga),Anime *a* Manga,3018,2801,2,1
明日方舟 | Arknights (Video Game),Video Games,1408,1386,0,0
Mass Effect - All Media Types,Video Games,21534,20459,175,169
Girl Meets World,TV Shows,2413,2204,16,11
Resident Evil - All Media Types,Cartoons *a* Comics *a* Graphic Novels,4041,3610,93,92
James Bond - All Media Types,Books *a* Literature,10910,8546,203,158
偶像练习生 | Idol Producer (TV),Music *a* Bands,6131,4835,0,0
The Walking Dead & Related Fandoms,Cartoons *a* Comics *a* Graphic Novels,22790,20894,629,575
Creepypasta - Fandom,Other Media,3235,2562,16,13
Voltron: Legendary Defender,Cartoons *a* Comics *a* Graphic Novels,71564,69537,1241,1222
闇の末裔 | Yami No Matsuei | Descendants of Darkness,Anime *a* Manga,1201,996,1,0
South Park,Movies,8735,8372,2,1
Dir en grey,Music *a* Bands,1036,1001,0,0
Digimon - All Media Types,Anime *a* Manga,3512,3116,9,9
Star Wars Legends - All Media Types,Cartoons *a* Comics *a* Graphic Novels,8867,8485,138,133
SHAKESPEARE William - Works,Theater,3693,2744,54,42
Final Fantasy XIII Series,Video Games,1810,1621,11,11
Carmilla (Web Series),Other Media,6104,5760,9,9
Spider-Man - All Media Types,Cartoons *a* Comics *a* Graphic Novels,37058,32923,685,616
Disney - All Media Types,TV Shows,38877,31481,376,317
The Legend of Zelda: Twilight Princess,Video Games,1116,982,4,3
Phandom/The Fantastic Foursome (YouTube RPF),Celebrities *a* Real People,18087,17608,3,3
Warhammer - All Media Types,Other Media,1433,1206,14,12
Grand Theft Auto V,Celebrities *a* Real People,1123,957,3,2
Fandom - Fandom,Other Media,1385,868,1,0
声入人心 | Super-Vocal (TV),Celebrities *a* Real People,14793,14679,0,0
Jurassic Park - All Media Types,Movies,2354,1857,32,21
The Hobbit (Jackson Movies),Movies,17095,15977,724,692
Romeo And Juliet - All Media Types,Theater,1361,1196,22,18
Suits (US TV),TV Shows,3992,3620,62,59
Mission: Impossible,TV Shows,1628,1171,21,5
Banana Fish (Anime & Manga),Anime *a* Manga,2182,2129,197,196
The Yogscast,Other Media,3097,2923,3,3
Tales of Series,Video Games,6360,6107,22,21
Fairy Tales & Related Fandoms,Books *a* Literature,2550,1291,12,6
特警新人类 |Gen-X Cops (1999),Uncategorized Fandoms,0,0,0,0
Wiedźmin | The Witcher (Video Game),Video Games,1921,1752,18,16
Teenage Mutant Ninja Turtles - All Media Types,Cartoons *a* Comics *a* Graphic Novels,6694,6256,20,17
The X-Files,TV Shows,16334,14782,32,25
Red Dead Redemption (Video Games),Video Games,3978,3846,175,171
The Avengers (Marvel) - All Media Types,Cartoons *a* Comics *a* Graphic Novels,165358,138904,5093,4403
Tokusatsu,TV Shows,4992,4626,28,27
Firefly,TV Shows,6943,4425,24,6
Men's Hockey RPF,Celebrities *a* Real People,12079,11766,13,11
Vampire Knight (Anime & Manga),Anime *a* Manga,1079,924,6,4
ASTRO (Band),Music *a* Bands,1578,1549,1,1
Pop Music RPF,Music *a* Bands,3537,1800,0,0
Primeval,TV Shows,3548,3223,69,65
Bandom,Celebrities *a* Real People,48976,42311,35,32
The Lord of the Rings - All Media Types,Books *a* Literature,23166,21092,167,143
Treasure Island & Related Fandoms,Movies,4676,4238,116,109
Yu-Gi-Oh! VRAINS,Anime *a* Manga,1422,1393,7,7
Hazbin Hotel (Web Series),Other Media,1461,1341,0,0
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,Anime *a* Manga,84277,80723,166,148
Outlander Series - Diana Gabaldon,Books *a* Literature,1982,1894,1,0
The Shadowhunter Chronicles - All Media Types,Books *a* Literature,32988,31567,353,336
Christine (1983),Uncategorized Fandoms,0,0,0,0
Lost,TV Shows,1905,1618,27,24
Vikings (TV),TV Shows,2656,2389,28,25
Twilight Series - All Media Types,Movies,8277,6400,55,32
Music RPF,Celebrities *a* Real People,53078,40861,50,30
Star Trek: The Next Generation,TV Shows,4442,3845,50,43
Fullmetal Alchemist (Anime 2003),Anime *a* Manga,2585,2446,26,24
Downton Abbey,Movies,3677,3450,58,54
The Magicians (TV),TV Shows,3307,2824,258,235
Assassin's Creed - All Media Types,Movies,8366,7379,170,136
Transformers - All Media Types,Cartoons *a* Comics *a* Graphic Novels,32319,30979,202,188
James Bond (Movies),Movies,10631,8405,200,156
Star Wars Prequel Trilogy,Video Games,11583,10983,465,453
Spider-Man (Comicverse),Cartoons *a* Comics *a* Graphic Novels,2173,1969,32,29
The Flash - All Media Types,TV Shows,23338,22012,614,566
Uta no Prince-sama,Anime *a* Manga,1757,1668,1,1
Phineas and Ferb,Cartoons *a* Comics *a* Graphic Novels,1515,1331,3,2
Winner (Band),Music *a* Bands,1173,1130,0,0
Fallout (Video Games),Video Games,12505,11838,24,21
RWBY,Cartoons *a* Comics *a* Graphic Novels,17844,16334,144,133
The Maze Runner (Movies),Movies,2539,2335,71,64
방탄소년단 | Bangtan Boys | BTS,Music *a* Bands,110234,108840,23,22
Transformers Animated (2007),Cartoons *a* Comics *a* Graphic Novels,1888,1843,10,10
Final Fantasy XIV,Video Games,6017,5892,28,28
CSI: Crime Scene Investigation,TV Shows,2813,2305,5,4
Roswell New Mexico (TV 2019),TV Shows,2624,2576,52,51
Dangan Ronpa: Trigger Happy Havoc,Anime *a* Manga,6989,6518,41,37
七つの大罪 - 鈴木央 | Nanatsu no Taizai | The Seven Deadly Sins - Suzuki Nakaba (Anime & Manga),Anime *a* Manga,1088,987,5,4
Stand Still Stay Silent,Cartoons *a* Comics *a* Graphic Novels,1303,1232,16,14
Harry Potter - J. K. Rowling,Movies,226861,203246,3740,3259
Lizzie Bennet Diaries,Other Media,1058,1002,2,2
Riverdale (TV 2017),TV Shows,11476,10916,107,105
FAKE (Manga),Anime *a* Manga,1113,1083,0,0
Call Me By Your Name (2017) RPF,Celebrities *a* Real People,1315,975,0,0
NCIS: Los Angeles,TV Shows,1634,1324,6,0
Winter Soldier (Comics),Cartoons *a* Comics *a* Graphic Novels,1753,1449,20,18
Disney Duck Universe,Cartoons *a* Comics *a* Graphic Novels,2831,2706,2,2
Love Live! School Idol Festival (Video Game),Video Games,1092,384,0,0
House M.D.,TV Shows,5445,4755,18,12
MASH (TV),TV Shows,1435,1245,4,2
门徒 | Protégé (2007),Uncategorized Fandoms,0,0,0,0
Warcraft - All Media Types,Video Games,5961,5490,56,52
The Hobbit - All Media Types,Movies,31626,29304,1147,1093
Yu-Gi-Oh! - All Media Types,Anime *a* Manga,16065,14913,64,59
Les Misérables - All Media Types,Books *a* Literature,20214,19133,594,568
看脸时代|daylight(2019),Uncategorized Fandoms,0,0,0,0
Les Misérables (2012),Movies,4969,4717,114,108
Lily C.A.T. (1987),Uncategorized Fandoms,0,0,0,0
The Incredible Hulk (2008),Cartoons *a* Comics *a* Graphic Novels,2190,1847,62,48
The Walking Dead & Related Fandoms,Video Games,22790,20894,629,575
DCU (Comics),Cartoons *a* Comics *a* Graphic Novels,44299,39965,392,338
Pretty Little Liars,TV Shows,1580,1325,4,0
low winter sun (2013),Uncategorized Fandoms,0,0,0,0
Superman - All Media Types,Cartoons *a* Comics *a* Graphic Novels,16160,14724,99,92
Digimon Adventure,Anime *a* Manga,1036,952,2,2
モブサイコ100 | Mob Psycho 100,Cartoons *a* Comics *a* Graphic Novels,5125,4910,1,1
The Mentalist,TV Shows,1882,1739,3,2
Dishonored (Video Games),Video Games,2899,2671,22,18
Pitch Perfect (Movies),Movies,5106,4857,14,13
流浪地球 | The Wandering Earth (2019),Movies,1060,1012,0,0
Ghost - Ambiguous Fandom,TV Shows,1341,1217,1,1
Broadchurch,TV Shows,1440,951,9,7
Beauty and the Beast - All Media Types,Movies,2522,1810,50,41
Tales from the Crypt Presents: Bordello of Blood (1996),Uncategorized Fandoms,0,0,0,0
Jurassic World Trilogy (Movies),Movies,1720,1417,25,16
Queer as Folk (US),TV Shows,6526,6256,37,35
In the Loop (2009) & The Thick of It,Movies,1051,807,5,4
Arthurian Mythology & Related Fandoms,TV Shows,38372,35031,450,396
Grand Theft Auto V,Video Games,1123,957,3,2
Women's Soccer RPF,Celebrities *a* Real People,3415,3358,2,2
Sherlock Holmes (Downey films),Movies,1896,1672,11,9
Highlander: The Series,TV Shows,4995,3149,35,11
Call the Midwife,TV Shows,1109,1067,3,3
The Thick of It (TV),TV Shows,1046,804,5,4
Twilight Series - All Media Types,Books *a* Literature,8277,6400,55,32
Final Fantasy XV,Video Games,23797,23215,475,462
The Book of Mormon - Ambiguous Fandom,Books *a* Literature,1005,928,1,0
The Eagle - Ambiguous Fandom,Movies,1048,963,1,1
The 100 Series - Kass Morgan,Books *a* Literature,1360,71,42,1
Captain America - All Media Types,Movies,87516,78272,1900,1692
Beauty and the Beast (2017),Movies,1188,1066,38,36
Original Work,Other Media,74687,63294,41,19
Video Blogging RPF,Celebrities *a* Real People,69366,63739,49,13
声入人心 | Super-Vocal (TV),TV Shows,14803,14689,0,0
Super Smash Brothers,Video Games,2191,832,5,0
Durarara!!,Books *a* Literature,4601,4287,18,15
Divergent - All Media Types,Movies,1241,985,11,9
Fire Emblem Heroes,Video Games,2262,2185,8,7
The Lord of the Rings - All Media Types,Movies,23166,21092,167,143
Pirates of the Caribbean (Movies),Movies,3860,2971,31,25
Fast and the Furious Series,Movies,2034,1591,28,15
Minecraft (Video Game),Video Games,1958,1278,7,4
Baseball RPF,Celebrities *a* Real People,1172,1109,0,0
Detroit: Become Human (Video Game),Video Games,17510,16835,231,224
Digimon - All Media Types,Video Games,3512,3116,9,9
Star Wars Original Trilogy,Video Games,8026,7445,177,170
13 Reasons Why (TV),TV Shows,1062,861,28,19
NCT (Band),Music *a* Bands,24535,24252,4,4
Stargate - All Media Types,TV Shows,47150,41963,177,133
Red Lights (2012),Uncategorized Fandoms,0,0,0,0
The Sentinel (TV),TV Shows,11730,10575,6,2
Teen Titans - All Media Types,Cartoons *a* Comics *a* Graphic Novels,4413,3866,23,18
Xena: Warrior Princess,TV Shows,1940,1534,9,9
Final Fantasy,Video Games,46714,44236,683,655
It's Always Sunny in Philadelphia,TV Shows,2172,2045,10,9
Outsiders - Ambiguous Fandom,Movies,985,887,6,6
Adventure Time,Cartoons *a* Comics *a* Graphic Novels,1825,1575,2,2
Dragon Age II,Video Games,14414,14064,66,62
The Legend of Sleepy Hollow - All Media Types,Movies,2300,2036,65,57
Dragon Age - All Media Types,Video Games,62510,60748,251,233
The Trials of Apollo - Rick Riordan,Books *a* Literature,1325,1234,12,11
Chronicles of Narnia - All Media Types,Movies,3852,2755,38,16
Pride and Prejudice - Jane Austen,Books *a* Literature,1267,976,2,1
American Horror Story,Movies,3221,2813,31,26
Arctic Dogs/Arctic Justice (2019),Uncategorized Fandoms,0,0,0,0
The Man From U.N.C.L.E. (2015),Movies,3034,2695,2,2
Star Wars Legends - All Media Types,Books *a* Literature,8867,8485,138,133
Terminator - All Media Types,TV Shows,1472,1111,27,24
Kingdom Hearts,Video Games,15344,13218,156,96
Star Wars: The Clone Wars (2008) - All Media Types,Video Games,8595,8265,373,363
Green Lantern - All Media Types,Cartoons *a* Comics *a* Graphic Novels,1800,1651,17,12
Resident Evil - All Media Types,Movies,4042,3611,94,93
Life on Mars (UK),TV Shows,2185,2043,2,1
Dragon Age - All Media Types,Books *a* Literature,62510,60748,251,233
Arrow (TV 2012),TV Shows,20594,19079,524,481
陈情令 | The Untamed (TV) RPF,Celebrities *a* Real People,3191,2967,1,0
Final Fantasy X,Video Games,1039,869,4,4
Thunderbirds,TV Shows,1985,1925,3,3
The Book of Mormon - Ambiguous Fandom,Theater,1005,928,1,0
The Witcher (TV),TV Shows,1557,1484,55,54
ジョジョの奇妙な冒険 | JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure,Anime *a* Manga,22408,21690,311,308
Spider-Man (Tom Holland Movies),Movies,21381,19725,534,496
Scorpion (TV 2014),TV Shows,1359,1323,13,10
Durarara!!,Anime *a* Manga,4601,4287,18,15
Singer (2017) RPF,Uncategorized Fandoms,0,0,0,0
기생충 | Parasite (2019),Uncategorized Fandoms,0,0,0,0
Slender Man Mythos,Other Media,1793,1524,14,13
Kyou Kara Maou!,Anime *a* Manga,1388,1322,0,0
Hunter X Hunter,Anime *a* Manga,6210,5895,18,14
Ghostbusters (2016),Movies,2250,2106,3,2
The Blacklist (US TV),TV Shows,2396,2266,12,10
The Eagle | The Eagle of the Ninth - All Media Types,Books *a* Literature,1045,961,1,1
The Maze Runner Series - James Dashner,Books *a* Literature,4146,3846,69,63
Top Gear (UK) RPF,Celebrities *a* Real People,1114,744,0,0
The Yogscast,Celebrities *a* Real People,3097,2923,3,3
Homestuck,Cartoons *a* Comics *a* Graphic Novels,50607,48202,99,91
Dragon Age: Inquisition,Video Games,33869,33044,170,161
Sherlock Holmes & Related Fandoms,Books *a* Literature,124697,112079,1260,1144
Doki Doki Literature Club! (Visual Novel),Video Games,1247,1055,7,6
DC's Legends of Tomorrow (TV),TV Shows,11276,10531,637,590
A Song of Ice and Fire - George R. R. Martin,Books *a* Literature,35579,34019,796,767
Chronicles of Narnia - All Media Types,Books *a* Literature,3852,2755,38,16
Supernatural RPF,Celebrities *a* Real People,18674,16603,14,8
Veronica Mars - All Media Types,TV Shows,3120,2790,66,60
The Wizard of Oz & Related Fandoms,Books *a* Literature,1937,1498,11,8
Psycho-Pass,Anime *a* Manga,1195,1057,3,3
The Magnificent Seven (2016),Movies,1113,1057,13,11
Outlander & Related Fandoms,Books *a* Literature,2348,2153,1,0
Vampire Chronicles - Anne Rice,Movies,1033,938,4,4
Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon,Anime *a* Manga,5141,4145,25,18
My Little Pony: Friendship is Magic,Cartoons *a* Comics *a* Graphic Novels,2724,1960,7,4
Chinese Actor RPF,Celebrities *a* Real People,5034,4357,0,0
Pocket Monsters: Sun & Moon | Pokemon Sun & Moon Versions,Video Games,2419,2283,3,3
Avatar: The Last Airbender,Cartoons *a* Comics *a* Graphic Novels,10255,8188,29,15
Les Misérables - Schönberg/Boublil,Theater,2557,2421,121,118
DC Extended Universe,Movies,7530,6298,201,173
Final Fantasy VII,Video Games,8302,7343,131,119
Warcraft - All Media Types,Books *a* Literature,5962,5491,56,52
Fullmetal Alchemist - All Media Types,Anime *a* Manga,15372,14036,94,81
Tennis RPF,Celebrities *a* Real People,1274,1254,2,2
Day6 (Band),Music *a* Bands,2256,2224,1,1
The Worst Witch - All Media Types,Books *a* Literature,1366,1313,8,8
Robin (Comics),Cartoons *a* Comics *a* Graphic Novels,1289,1216,18,17
Katekyou Hitman Reborn!,Anime *a* Manga,10485,8856,50,30
The Vampire Diaries & Related Fandoms,TV Shows,13378,11594,154,117
Ant-Man (Movies),Movies,1338,1172,55,46
Discworld - Terry Pratchett,Books *a* Literature,2523,1757,14,2
Rise of the Guardians (2012),Movies,8340,5063,28,15
Tommy Ratliff (Musician),Music *a* Bands,1456,27,0,0
Fire Emblem: Fuukasetsugetsu | Fire Emblem: Three Houses,Video Games,10976,10851,84,83
Queen (Band),Music *a* Bands,4587,1985,18,5
Star Trek: Enterprise,TV Shows,4711,4551,22,22
Death Note & Related Fandoms,TV Shows,5924,5217,95,83
Jpop,Music *a* Bands,16363,15362,0,0
Final Fantasy XII,Video Games,1428,1305,3,3
